u,v,weight,road_type
N0,N16,15.45,arterial
N0,N33,17.75,arterial
N0,N41,24.33,arterial
N0,N8,30.04,arterial
N0,N23,31.46,arterial
N1,N6,16.82,arterial
N1,N46,25.66,arterial
N1,N13,35.2,arterial
N1,N23,40.88,arterial
N1,N49,41.24,arterial
N2,N44,23.8,arterial
N2,N20,31.51,arterial
N15,N2,32.48,arterial
N2,N26,35.38,arterial
N2,N46,39.83,arterial
N3,N38,16.95,arterial
N27,N3,33.85,arterial
N3,N45,41.17,arterial
N21,N3,41.52,arterial
N3,N36,43.7,arterial
N34,N4,9.52,arterial
N4,N48,14.2,arterial
N4,N47,22.02,arterial
N36,N4,27.39,arterial
N37,N4,32.61,arterial
N11,N5,51.04,arterial
N10,N5,52.95,arterial
N35,N5,79.48,arterial
N14,N5,79.82,arterial
N5,N9,101.65,arterial
N49,N6,24.43,arterial
N13,N6,27.51,arterial
N42,N6,35.03,arterial
N46,N6,38.49,arterial
N25,N7,10.28,arterial
N7,N8,17.53,arterial
N19,N7,18.41,arterial
N23,N7,20.43,arterial
N40,N7,21.05,arterial
N23,N8,3.44,arterial
N25,N8,24.01,arterial
N19,N8,32.71,arterial
N35,N9,25.28,arterial
N14,N9,28.56,arterial
N32,N9,47.52,arterial
N44,N9,49.85,arterial
N26,N9,50.7,arterial
N10,N14,28.2,arterial
N10,N35,29.56,arterial
N10,N9,54.55,arterial
N10,N11,62.38,arterial
N11,N14,87.96,arterial
N11,N35,90.82,arterial
N11,N17,95.6,arterial
N12,N43,20.52,arterial
N12,N25,44.56,arterial
N12,N21,45.24,arterial
N12,N6,50.11,arterial
N12,N49,50.95,arterial
N13,N42,27.84,arterial
N13,N49,33.09,arterial
N13,N46,39.41,arterial
N14,N35,5.53,arterial
N14,N32,45.93,arterial
N14,N41,71.59,arterial
N15,N20,23.34,arterial
N15,N31,43.86,arterial
N15,N44,46.29,arterial
N15,N26,47.7,arterial
N16,N33,15.83,arterial
N16,N41,20.03,arterial
N16,N32,32.6,arterial
N16,N22,37.28,arterial
N17,N30,19.03,arterial
N17,N24,41.59,arterial
N17,N41,50.59,arterial
N17,N33,55.87,arterial
N17,N32,56.49,arterial
N18,N47,24.94,arterial
N18,N29,43.33,arterial
N18,N4,45.25,arterial
N18,N34,49.6,arterial
N18,N48,53.34,arterial
N19,N40,4.16,arterial
N19,N28,16.41,arterial
N19,N37,21.68,arterial
N19,N25,24.23,arterial
N20,N31,30.94,arterial
N13,N20,44.96,arterial
N20,N46,45.07,arterial
N21,N43,30.32,arterial
N21,N38,49.07,arterial
N21,N25,52.61,arterial
N22,N44,39.76,arterial
N2,N22,41.72,arterial
N22,N46,41.78,arterial
N22,N32,44.72,arterial
N23,N25,26.0,arterial
N19,N23,36.1,arterial
N24,N30,24.52,arterial
N24,N41,25.59,arterial
N24,N33,25.98,arterial
N0,N24,35.12,arterial
N24,N48,35.7,arterial
N25,N40,25.38,arterial
N26,N44,15.53,arterial
N22,N26,54.26,arterial
N27,N45,12.07,arterial
N27,N36,18.82,arterial
N27,N38,19.27,arterial
N27,N39,26.49,arterial
N28,N37,7.83,arterial
N28,N40,14.62,arterial
N28,N48,25.27,arterial
N28,N36,25.69,arterial
N29,N47,67.79,arterial
N17,N29,78.95,arterial
N29,N4,88.58,arterial
N29,N34,92.59,arterial
N30,N41,32.08,arterial
N30,N33,37.02,arterial
N30,N32,43.27,arterial
N13,N31,45.35,arterial
N31,N42,60.7,arterial
N2,N31,62.44,arterial
