id,name,type,x,y,lat,lon
N0,Hub_C0,hub,1347.48,1653.22,,
N1,Warehouse_C0,warehouse,1331.11,1588.32,,
N2,DeliveryPoint_N2,delivery_point,1269.91,1610.69,,
N3,DeliveryPoint_N3,delivery_point,1448.61,1626.31,,
N4,DeliveryPoint_N4,delivery_point,1410.52,1684.87,,
N5,DeliveryPoint_N5,delivery_point,1238.73,1779.85,,
N6,DeliveryPoint_N6,delivery_point,1334.45,1571.84,,
N7,DeliveryPoint_N7,delivery_point,1373.89,1625.59,,
N8,DeliveryPoint_N8,delivery_point,1356.39,1624.53,,
N9,DeliveryPoint_N9,delivery_point,1265.67,1681.83,,
N10,DeliveryPoint_N10,delivery_point,1268.84,1736.29,,
N11,DeliveryPoint_N11,delivery_point,1287.17,1795.92,,
N12,DeliveryPoint_N12,delivery_point,1384.56,1572.5,,
N13,DeliveryPoint_N13,delivery_point,1309.31,1560.68,,
N14,DeliveryPoint_N14,delivery_point,1275.08,1708.79,,
N15,DeliveryPoint_N15,delivery_point,1246.71,1587.96,,
N16,DeliveryPoint_N16,delivery_point,1332.46,1656.84,,
N17,DeliveryPoint_N17,delivery_point,1351.18,1724.91,,
N18,DeliveryPoint_N18,delivery_point,1411.88,1730.1,,
N19,DeliveryPoint_N19,delivery_point,1385.11,1640.19,,
N20,DeliveryPoint_N20,delivery_point,1268.35,1579.22,,
N21,DeliveryPoint_N21,delivery_point,1425.45,1591.85,,
N22,DeliveryPoint_N22,delivery_point,1298.82,1640.77,,
N23,DeliveryPoint_N23,delivery_point,1353.71,1622.38,,
N24,DeliveryPoint_N24,delivery_point,1362.6,1684.92,,
N25,DeliveryPoint_N25,delivery_point,1379.09,1616.72,,
N26,DeliveryPoint_N26,delivery_point,1244.8,1635.62,,
N27,DeliveryPoint_N27,delivery_point,1438.48,1658.61,,
N28,DeliveryPoint_N28,delivery_point,1394.56,1653.6,,
N29,DeliveryPoint_N29,delivery_point,1413.49,1773.4,,
N30,DeliveryPoint_N30,delivery_point,1349.95,1705.92,,
N31,DeliveryPoint_N31,delivery_point,1265.65,1548.4,,
N32,DeliveryPoint_N32,delivery_point,1313.17,1683.12,,
N33,DeliveryPoint_N33,delivery_point,1341.4,1669.9,,
N34,DeliveryPoint_N34,delivery_point,1401.59,1681.58,,
N35,DeliveryPoint_N35,delivery_point,1269.94,1706.75,,
N36,DeliveryPoint_N36,delivery_point,1419.67,1659.05,,
N37,DeliveryPoint_N37,delivery_point,1402.38,1653.29,,
N38,DeliveryPoint_N38,delivery_point,1437.78,1639.35,,
N39,DeliveryPoint_N39,delivery_point,1462.84,1669.02,,
N40,DeliveryPoint_N40,delivery_point,1389.26,1639.97,,
N41,DeliveryPoint_N41,delivery_point,1338.66,1675.89,,
N42,DeliveryPoint_N42,delivery_point,1325.45,1537.99,,
N43,DeliveryPoint_N43,delivery_point,1395.18,1590.06,,
N44,DeliveryPoint_N44,delivery_point,1259.97,1632.31,,
N45,DeliveryPoint_N45,delivery_point,1446.71,1667.44,,
N46,DeliveryPoint_N46,delivery_point,1308.3,1600.08,,
N47,DeliveryPoint_N47,delivery_point,1404.88,1706.16,,
N48,DeliveryPoint_N48,delivery_point,1397.75,1678.67,,
N49,DeliveryPoint_N49,delivery_point,1339.88,1548.02,,
N50,Hub_C1,hub,909.29,1412.02,,
N51,Warehouse_C1,warehouse,918.53,1432.72,,
N52,DeliveryPoint_N52,delivery_point,844.04,1419.09,,
N53,DeliveryPoint_N53,delivery_point,912.66,1443.89,,
N54,DeliveryPoint_N54,delivery_point,942.5,1367.9,,
N55,DeliveryPoint_N55,delivery_point,966.65,1444.28,,
N56,DeliveryPoint_N56,delivery_point,906.78,1433.03,,
N57,DeliveryPoint_N57,delivery_point,888.01,1387.06,,
N58,DeliveryPoint_N58,delivery_point,920.07,1353.83,,
N59,DeliveryPoint_N59,delivery_point,795.63,1425.53,,
N60,DeliveryPoint_N60,delivery_point,892.62,1520.75,,
N61,DeliveryPoint_N61,delivery_point,903.79,1397.4,,
N62,DeliveryPoint_N62,delivery_point,911.05,1424.74,,
N63,DeliveryPoint_N63,delivery_point,941.34,1408.95,,
N64,DeliveryPoint_N64,delivery_point,887.21,1401.87,,
N65,DeliveryPoint_N65,delivery_point,926.27,1418.32,,
N66,DeliveryPoint_N66,delivery_point,973.03,1398.85,,
N67,DeliveryPoint_N67,delivery_point,876.05,1399.22,,
N68,DeliveryPoint_N68,delivery_point,941.27,1487.73,,
N69,DeliveryPoint_N69,delivery_point,817.12,1498.96,,
N70,DeliveryPoint_N70,delivery_point,871.08,1349.02,,
N71,DeliveryPoint_N71,delivery_point,931.6,1317.55,,
N72,DeliveryPoint_N72,delivery_point,959.13,1502.73,,
N73,DeliveryPoint_N73,delivery_point,947.78,1466.21,,
N74,DeliveryPoint_N74,delivery_point,987.07,1393.34,,
N75,DeliveryPoint_N75,delivery_point,955.83,1486.73,,
N76,DeliveryPoint_N76,delivery_point,904.02,1356.89,,
N77,DeliveryPoint_N77,delivery_point,918.5,1397.97,,
N78,DeliveryPoint_N78,delivery_point,899.48,1327.83,,
N79,DeliveryPoint_N79,delivery_point,974.57,1449.12,,
N80,DeliveryPoint_N80,delivery_point,848.56,1281.96,,
N81,DeliveryPoint_N81,delivery_point,865.73,1373.34,,
N82,DeliveryPoint_N82,delivery_point,933.63,1480.16,,
N83,DeliveryPoint_N83,delivery_point,983.9,1433.08,,
N84,DeliveryPoint_N84,delivery_point,874.31,1438.14,,
N85,DeliveryPoint_N85,delivery_point,901.73,1468.21,,
N86,DeliveryPoint_N86,delivery_point,912.53,1387.59,,
N87,DeliveryPoint_N87,delivery_point,905.41,1420.56,,
N88,DeliveryPoint_N88,delivery_point,879.35,1405.0,,
N89,DeliveryPoint_N89,delivery_point,1000.57,1497.11,,
N90,DeliveryPoint_N90,delivery_point,865.02,1414.3,,
N91,DeliveryPoint_N91,delivery_point,826.11,1370.28,,
