u,v,weight,road_type
N0,N3,2.06,arterial
N0,N1,10.53,arterial
N0,N5,13.6,arterial
N0,N4,15.3,arterial
N1,N7,6.76,arterial
N1,N3,12.21,arterial
N1,N5,17.43,arterial
N2,N6,8.32,arterial
N2,N4,21.68,arterial
N2,N3,30.48,arterial
N12,N2,32.09,arterial
N3,N4,14.68,arterial
N3,N5,14.93,arterial
N4,N5,14.11,arterial
N10,N4,21.5,arterial
N10,N5,14.76,arterial
N12,N6,26.75,arterial
N4,N6,29.78,arterial
N3,N6,37.1,arterial
N0,N7,15.76,arterial
N3,N7,16.95,arterial
N5,N7,24.19,arterial
N20,N8,49.06,arterial
N8,N9,54.48,arterial
N6,N8,56.75,arterial
N15,N8,56.84,arterial
N20,N9,6.68,arterial
N15,N9,22.79,arterial
N25,N9,38.88,arterial
N21,N9,40.05,arterial
N0,N10,28.05,arterial
N10,N3,29.08,arterial
N11,N7,47.21,arterial
N1,N11,50.64,arterial
N11,N19,54.93,arterial
N11,N15,55.8,arterial
N12,N4,52.14,arterial
N12,N3,62.55,arterial
N13,N21,9.08,arterial
N13,N24,21.81,arterial
N13,N22,22.61,arterial
N13,N14,24.47,arterial
N14,N21,21.48,arterial
N14,N16,22.94,arterial
N14,N25,25.95,arterial
N15,N20,19.23,arterial
N15,N7,47.33,arterial
N15,N24,52.68,arterial
N16,N25,4.88,arterial
N16,N21,27.73,arterial
N13,N16,35.99,arterial
N17,N22,20.44,arterial
N17,N18,25.8,arterial
N17,N24,29.65,arterial
N17,N23,40.69,arterial
N18,N19,25.13,arterial
N18,N24,29.66,arterial
N18,N22,31.9,arterial
N17,N19,48.26,arterial
N19,N24,53.29,arterial
N20,N25,42.99,arterial
N20,N21,46.5,arterial
N21,N24,25.32,arterial
N21,N25,26.83,arterial
N22,N24,13.23,arterial
N21,N22,29.87,arterial
N22,N23,59.07,arterial
N18,N23,59.42,arterial
N23,N24,70.11,arterial
N13,N25,35.57,arterial
N26,N30,5.74,arterial
N26,N29,15.35,arterial
N26,N27,19.73,arterial
N26,N36,22.34,arterial
N27,N29,13.13,arterial
N27,N37,23.59,arterial
N27,N30,25.2,arterial
N28,N35,12.07,arterial
N28,N36,17.93,arterial
N28,N30,27.0,arterial
N28,N32,27.32,arterial
N29,N30,20.78,arterial
N29,N31,22.07,arterial
N30,N36,19.34,arterial
N30,N35,20.31,arterial
N31,N36,19.62,arterial
N26,N31,25.76,arterial
N30,N31,27.3,arterial
N32,N36,36.57,arterial
N32,N35,39.04,arterial
N31,N32,51.86,arterial
N33,N37,25.92,arterial
N27,N33,44.2,arterial
N26,N33,50.97,arterial
N30,N33,52.37,arterial
N34,N37,53.38,arterial
N33,N34,54.13,arterial
N27,N34,75.54,arterial
N29,N34,88.32,arterial
N35,N36,21.7,arterial
N26,N35,26.04,arterial
N29,N37,36.71,arterial
N26,N37,38.73,arterial
N38,N39,5.37,arterial
N38,N43,17.13,arterial
N38,N40,23.41,arterial
N38,N41,33.27,arterial
N39,N43,20.31,arterial
N39,N40,27.62,arterial
N39,N44,35.8,arterial
N40,N44,16.09,arterial
N40,N45,16.98,arterial
N40,N41,23.03,arterial
N41,N42,5.98,arterial
N41,N49,7.27,arterial
N41,N43,28.53,arterial
N42,N49,3.25,arterial
N40,N42,28.98,arterial
N42,N43,31.12,arterial
N44,N45,7.46,arterial
N44,N46,16.89,arterial
N44,N47,21.72,arterial
N45,N47,17.48,arterial
N45,N46,21.38,arterial
N46,N47,22.68,arterial
N40,N46,32.43,arterial
N40,N47,34.42,arterial
N42,N48,83.01,arterial
N48,N49,84.42,arterial
N43,N48,86.77,arterial
N41,N48,88.0,arterial
N40,N49,29.44,arterial
N43,N49,34.17,arterial
N14,N39,62.9,highway
N23,N32,90.37,highway
