id,name,type,x,y,lat,lon
N0,Hub_C0,hub,93.33,105.52,,
N1,Warehouse_C0,warehouse,99.63,97.08,,
N2,DeliveryPoint_N2,delivery_point,76.56,132.99,,
N3,DeliveryPoint_N3,delivery_point,93.39,107.58,,
N4,DeliveryPoint_N4,delivery_point,79.24,111.48,,
N5,DeliveryPoint_N5,delivery_point,82.21,97.69,,
N6,DeliveryPoint_N6,delivery_point,77.75,141.22,,
N7,DeliveryPoint_N7,delivery_point,106.38,96.69,,
N8,DeliveryPoint_N8,delivery_point,132.88,154.68,,
N9,DeliveryPoint_N9,delivery_point,171.21,115.97,,
N10,DeliveryPoint_N10,delivery_point,68.21,93.03,,
N11,DeliveryPoint_N11,delivery_point,125.37,53.47,,
N12,DeliveryPoint_N12,delivery_point,57.74,158.98,,
N13,Hub_C1,hub,217.53,112.7,,
N14,Warehouse_C1,warehouse,224.09,136.27,,
N15,DeliveryPoint_N15,delivery_point,153.45,101.69,,
N16,DeliveryPoint_N16,delivery_point,203.18,145.71,,
N17,DeliveryPoint_N17,delivery_point,222.71,70.18,,
N18,DeliveryPoint_N18,delivery_point,197.26,65.97,,
N19,DeliveryPoint_N19,delivery_point,180.0,47.7,,
N20,DeliveryPoint_N20,delivery_point,164.67,117.31,,
N21,DeliveryPoint_N21,delivery_point,211.13,119.14,,
N22,DeliveryPoint_N22,delivery_point,218.13,90.1,,
N23,DeliveryPoint_N23,delivery_point,251.28,41.21,,
N24,DeliveryPoint_N24,delivery_point,205.63,94.42,,
N25,DeliveryPoint_N25,delivery_point,199.06,143.1,,
N26,Hub_C2,hub,390.42,88.35,,
N27,Warehouse_C2,warehouse,408.09,97.12,,
N28,DeliveryPoint_N28,delivery_point,361.45,74.01,,
N29,DeliveryPoint_N29,delivery_point,396.15,102.59,,
N30,DeliveryPoint_N30,delivery_point,386.45,84.21,,
N31,DeliveryPoint_N31,delivery_point,375.03,109.01,,
N32,DeliveryPoint_N32,delivery_point,334.29,76.92,,
N33,DeliveryPoint_N33,delivery_point,433.31,60.82,,
N34,DeliveryPoint_N34,delivery_point,482.41,83.61,,
N35,DeliveryPoint_N35,delivery_point,372.59,69.37,,
N36,DeliveryPoint_N36,delivery_point,368.2,90.62,,
N37,DeliveryPoint_N37,delivery_point,429.1,86.4,,
N38,Hub_C3,hub,262.67,191.27,,
N39,Warehouse_C3,warehouse,262.73,185.9,,
N40,DeliveryPoint_N40,delivery_point,278.18,208.8,,
N41,DeliveryPoint_N41,delivery_point,261.34,224.51,,
N42,DeliveryPoint_N42,delivery_point,257.43,229.03,,
N43,DeliveryPoint_N43,delivery_point,247.64,199.49,,
N44,DeliveryPoint_N44,delivery_point,293.57,204.09,,
N45,DeliveryPoint_N45,delivery_point,294.96,211.42,,
N46,DeliveryPoint_N46,delivery_point,306.85,193.65,,
N47,DeliveryPoint_N47,delivery_point,311.89,215.76,,
N48,DeliveryPoint_N48,delivery_point,177.12,250.04,,
N49,DeliveryPoint_N49,delivery_point,259.49,231.54,,
